"","entity_name","iso3c","year","p10","p90","population","continent"
"291","Falkland Islands","FLK",2017,NA,NA,3619,NA
"292","Falkland Islands","FLK",2018,NA,NA,3674,NA
"293","Fiji","FJI",2017,NA,NA,919022,NA
"294","Fiji","FJI",2018,NA,NA,919002,NA
"295","French Guiana","GUF",2017,NA,NA,269363,NA
"296","French Guiana","GUF",2018,NA,NA,276659,NA
"297","French Polynesia","PYF",2017,NA,NA,295456,NA
"298","French Polynesia","PYF",2018,NA,NA,297615,NA
"299","Gabon","GAB",2018,NA,NA,2192013,NA
"300","Gambia","GMB",2017,NA,NA,2381189,NA
"301","Gambia","GMB",2018,NA,NA,2444916,NA
"302","Ghana","GHA",2017,NA,NA,30222266,NA
"303","Ghana","GHA",2018,NA,NA,30870648,NA
"304","Gibraltar","GIB",2017,NA,NA,32628,NA
"305","Gibraltar","GIB",2018,NA,NA,32677,NA
"306","Greenland","GRL",2017,NA,NA,55951,NA
"307","Greenland","GRL",2018,NA,NA,55954,NA
"308","Grenada","GRD",2017,NA,NA,120934,NA
"309","Grenada","GRD",2018,NA,NA,121853,NA
"310","Guadeloupe","GLP",2017,NA,NA,397027,NA
"311","Guadeloupe","GLP",2018,NA,NA,396273,NA
"312","Guam","GUM",2017,NA,NA,168619,NA
"313","Guam","GUM",2018,NA,NA,168696,NA
"314","Guatemala","GTM",2017,NA,NA,16578718,NA
"315","Guatemala","GTM",2018,NA,NA,16850176,NA
"316","Guernsey","GGY",2017,NA,NA,61624,NA
"317","Guernsey","GGY",2018,NA,NA,61908,NA
"318","Guinea","GIN",2017,NA,NA,12240791,NA
"319","Guinea-Bissau","GNB",2017,NA,NA,1879835,NA
"320","Guyana","GUY",2017,NA,NA,763265,NA
"321","Guyana","GUY",2018,NA,NA,785518,NA
"322","Haiti","HTI",2017,NA,NA,10863546,NA
"323","Haiti","HTI",2018,NA,NA,11012427,NA
"324","High-income countries",NA,2017,NA,NA,1202872536,NA
"325","High-income countries",NA,2018,NA,NA,1209044728,NA
"326","Hong Kong","HKG",2017,NA,NA,7461508,NA
"327","Hong Kong","HKG",2018,NA,NA,7481563,NA
"328","Iceland","ISL",2018,NA,NA,352951,NA
"329","Iraq","IRQ",2017,NA,NA,39621156,NA
"330","Iraq","IRQ",2018,NA,NA,40590700,NA
"331","Isle of Man","IMN",2017,NA,NA,83596,NA
"332","Isle of Man","IMN",2018,NA,NA,83792,NA
"333","Jamaica","JAM",2017,NA,NA,2808388,NA
"334","Jamaica","JAM",2018,NA,NA,2811842,NA
"335","Japan","JPN",2017,NA,NA,126662464,NA
"336","Japan","JPN",2018,NA,NA,126255872,NA
"337","Jersey","JEY",2017,NA,NA,103623,NA
"338","Jersey","JEY",2018,NA,NA,105387,NA
"339","Jordan","JOR",2017,NA,NA,10215384,NA
"340","Jordan","JOR",2018,NA,NA,10459864,NA
"341","Kenya","KEN",2017,NA,NA,48948140,NA
"342","Kenya","KEN",2018,NA,NA,49953300,NA
"343","Kiribati","KIR",2017,NA,NA,120378,NA
"344","Kiribati","KIR",2018,NA,NA,122276,NA
"345","Kosovo","OWID_KOS",2018,NA,NA,1709966,NA
"346","Kuwait","KWT",2017,NA,NA,4124904,NA
"347","Kuwait","KWT",2018,NA,NA,4317190,NA
"348","Laos","LAO",2017,NA,NA,6997925,NA
"349","Latin America and the Caribbean (UN)",NA,2017,NA,NA,635448192,NA
"350","Latin America and the Caribbean (UN)",NA,2018,NA,NA,641303744,NA
"351","Lebanon","LBN",2017,NA,NA,6109255,NA
"352","Lebanon","LBN",2018,NA,NA,5950842,NA
"353","Lesotho","LSO",2018,NA,NA,2198030,NA
"354","Liberia","LBR",2017,NA,NA,4796632,NA
"355","Liberia","LBR",2018,NA,NA,4889396,NA
"356","Libya","LBY",2017,NA,NA,6378267,NA
"357","Libya","LBY",2018,NA,NA,6477791,NA
"358","Liechtenstein","LIE",2017,NA,NA,37916,NA
"359","Liechtenstein","LIE",2018,NA,NA,38205,NA
"360","Low-income countries",NA,2017,NA,NA,626187698,NA
"361","Low-income countries",NA,2018,NA,NA,643420791,NA
"362","Lower-middle-income countries",NA,2017,NA,NA,3236754793,NA
"363","Lower-middle-income countries",NA,2018,NA,NA,3281847839,NA
"364","Macao","MAC",2017,NA,NA,638612,NA
"365","Macao","MAC",2018,NA,NA,650996,NA
"366","Madagascar","MDG",2017,NA,NA,26169540,NA
"367","Madagascar","MDG",2018,NA,NA,26846544,NA
"368","Malawi","MWI",2017,NA,NA,17881172,NA
"369","Malawi","MWI",2018,NA,NA,18367886,NA
"370","Malaysia","MYS",2017,NA,NA,31975812,NA
"371","Malaysia","MYS",2018,NA,NA,32399270,NA
"372","Maldives","MDV",2017,NA,NA,472449,NA
"373","Maldives","MDV",2018,NA,NA,489773,NA
"374","Mali","MLI",2017,NA,NA,19311356,NA
"375","Marshall Islands","MHL",2017,NA,NA,47204,NA
"376","Marshall Islands","MHL",2018,NA,NA,46012,NA
"377","Martinique","MTQ",2017,NA,NA,377458,NA
"378","Martinique","MTQ",2018,NA,NA,374843,NA
"379","Mauritania","MRT",2017,NA,NA,4160018,NA
"380","Mauritania","MRT",2018,NA,NA,4270717,NA
"381","Mauritius","MUS",2018,NA,NA,1295386,NA
"382","Mayotte","MYT",2017,NA,NA,271576,NA
"383","Mayotte","MYT",2018,NA,NA,282968,NA
"384","Mexico","MEX",2017,NA,NA,122839256,NA
"385","Micronesia (country)","FSM",2017,NA,NA,110441,NA
"386","Micronesia (country)","FSM",2018,NA,NA,110945,NA
"387","Monaco","MCO",2017,NA,NA,37069,NA
"388","Monaco","MCO",2018,NA,NA,37050,NA
"389","Mongolia","MNG",2017,NA,NA,3096033,NA
"390","Montserrat","MSR",2017,NA,NA,4723,NA
"391","Montserrat","MSR",2018,NA,NA,4381,NA
"392","Morocco","MAR",2017,NA,NA,35528116,NA
"393","Morocco","MAR",2018,NA,NA,35927516,NA
"394","Mozambique","MOZ",2017,NA,NA,28569448,NA
"395","Mozambique","MOZ",2018,NA,NA,29423882,NA
"396","Myanmar","MMR",2018,NA,NA,52666016,NA
"397","Namibia","NAM",2017,NA,NA,2364540,NA
"398","Namibia","NAM",2018,NA,NA,2405682,NA
"399","Nauru","NRU",2017,NA,NA,11708,NA
"400","Nauru","NRU",2018,NA,NA,11949,NA
"401","Nepal","NPL",2017,NA,NA,28183424,NA
"402","Nepal","NPL",2018,NA,NA,28506718,NA
"403","New Caledonia","NCL",2017,NA,NA,284358,NA
"404","New Caledonia","NCL",2018,NA,NA,284887,NA
"405","New Zealand","NZL",2017,NA,NA,4746253,NA
"406","New Zealand","NZL",2018,NA,NA,4838528,NA
"407","Nicaragua","NIC",2017,NA,NA,6480534,NA
"408","Nicaragua","NIC",2018,NA,NA,6572234,NA
"409","Niger","NER",2017,NA,NA,21737924,NA
"410","Nigeria","NGA",2017,NA,NA,193495904,NA
"411","Niue","NIU",2017,NA,NA,1891,NA
"412","Niue","NIU",2018,NA,NA,1907,NA
"413","North America",NA,2017,NA,NA,581258143,NA
"414","North America",NA,2018,NA,NA,585864285,NA
"415","North Korea","PRK",2017,NA,NA,25516318,NA
"416","North Korea","PRK",2018,NA,NA,25638152,NA
"417","Northern America (UN)",NA,2017,NA,NA,366470720,NA
"418","Northern America (UN)",NA,2018,NA,NA,369300736,NA
"419","Northern Mariana Islands","MNP",2017,NA,NA,50752,NA
"420","Northern Mariana Islands","MNP",2018,NA,NA,50328,NA
"421","Oceania",NA,2017,NA,NA,41817267,NA
"422","Oceania",NA,2018,NA,NA,42540030,NA
"423","Oceania (UN)",NA,2017,NA,NA,41816932,NA
"424","Oceania (UN)",NA,2018,NA,NA,42539676,NA
"425","Oman","OMN",2017,NA,NA,4541853,NA
"426","Oman","OMN",2018,NA,NA,4601160,NA
"427","Pakistan","PAK",2017,NA,NA,216379648,NA
